YEAR,MONTH,CIVIL,IND
2021,1,1991819.7340447293,787571.6712808856
2021,2,1682455.3348376714,669011.6897918145
2021,3,1382277.6773915847,696404.4000002323
2021,4,884185.5878854505,574662.3565565234
2021,5,575361.7299470182,531550.888635994
2021,6,436758.08632063493,526739.7166924677
2021,7,420230.51788040117,549702.6507394906
2021,8,402690.18419384613,525375.2145615241
2021,9,403935.70053697686,560695.3037810619
2021,10,621346.6616343125,651234.611458032
2021,11,1112258.5829107468,747027.1760679561
2021,12,1791323.9461206626,868510.7792914226
2022,1,1954913.332062637,833150.0628438009
2022,2,1691887.0554868758,692387.2347097882
2022,3,1344294.5782032767,733454.0243188523
2022,4,886998.6909774386,596790.9280391529
2022,5,587584.669841499,558958.2053389781
2022,6,447505.4264322894,541252.6195382044
2022,7,429830.3612188791,554751.8087795234
2022,8,407564.30853834713,532050.5121274636
2022,9,416353.6267463213,578983.4288955688
2022,10,625243.541156901,667625.3389731236
2022,11,1131196.858796351,783941.0564717472
2022,12,1809342.504318669,856088.6203982886
2023,1,1994635.5906398722,880129.630667638
2023,2,1655375.2524465688,677667.8290906986
2023,3,1380972.1702716271,757305.1356874502
2023,4,933898.1245721756,618893.4950191987
2023,5,592785.6722455422,581107.52631774
2023,6,459176.73870407185,567592.6464612472
2023,7,443661.13027722057,589304.1732058638
2023,8,421427.5346637769,569274.3834009605
2023,9,427113.847518294,589362.2779741196
2023,10,638608.6927044938,741051.1020150254
2023,11,1112928.1347343577,787817.2236079593
2023,12,1787216.1021003295,936046.4022269383
2024,1,1985468.3072542464,903689.2906810616
2024,2,1712313.236935304,804631.5708502752
2024,3,1370846.7949260739,787098.5937711009
2024,4,905290.212489636,655225.3269855101
2024,5,603497.1453720216,630797.003679906
2024,6,468347.2594039761,619462.2580800136
2024,7,447172.77428706485,647836.3539916574
2024,8,424235.9019818093,639430.0190259855
2024,9,429270.7707236287,676456.3545420993
2024,10,635057.5673262277,796412.0513128829
2024,11,1144683.5580820357,866973.3847647621
2024,12,1788523.6060050037,955091.969688776
2025,1,2023529.6323354947,945331.4995966414
2025,2,1710058.9769584646,803117.3829053491
2025,3,1437220.2548669102,835618.3049578865
2025,4,892518.057329738,689128.2911275674
2025,5,596560.7280329686,637101.2265270283
2025,6,459946.9101025406,630983.3144922309
2025,7,449098.0599916829,657980.3293384537
2025,8,428768.1126779275,628585.7776621504
2025,9,439099.54540717095,670373.7422981071
2025,10,641616.3384637819,777339.6626272948
2025,11,1151892.6621580797,891078.3680484075
2025,12,1752051.7468582974,1035328.4712713242
2026,1,1985968.6524543832,992392.8460446438
2026,2,1710603.659611845,824536.2469206741
2026,3,1375564.3558645516,872946.403929083
2026,4,937351.2809086482,709853.1044510974
2026,5,609281.0147183196,664678.2926902686
2026,6,470675.3648975564,643104.9679965
2026,7,456835.8656199186,658490.4444821686
2026,8,436733.90310233925,631381.8745223638
2026,9,445428.55787884985,686949.066806872
2026,10,647350.6068313043,790478.1795738409
2026,11,1140847.2535015976,928158.3905106867
2026,12,1867557.374679904,1011794.9296818975
2027,1,2005412.1525144265,1040993.6552961158
2027,2,1710512.3227322116,800395.520924397
2027,3,1395851.0438718018,894403.6836937594
2027,4,932659.8299081564,730687.4496275363
2027,5,614344.6727121392,685938.2028301853
2027,6,476234.95726253046,669629.8573874107
2027,7,463582.9417055526,694760.6114524002
2027,8,449023.340182688,671097.0428097615
2027,9,454247.17232219636,694233.821746794
2027,10,665592.8711724065,872057.3663087399
2027,11,1115584.476425642,925785.8778606822
2027,12,1796974.6955819125,1099539.913053585
2028,1,1973265.248650217,1061523.4196728892
2028,2,1764332.7969351306,945950.3469407494
2028,3,1380954.252892514,923871.4407886013
2028,4,898707.0961992086,768726.8923230373
2028,5,616228.6982866696,740185.8980998963
2028,6,483262.2293048834,726437.1000685839
2028,7,467608.8948405771,759272.8322169023
2028,8,443985.61928854673,749432.4367853928
2028,9,450461.9510664509,792221.8311658901
2028,10,670639.59868802,932041.9580821387
2028,11,1174677.2761009496,1013240.6257340019
2028,12,1821529.2153513886,1114950.2127264403
2029,1,2059400.2978841465,1103091.327912387
2029,2,1694839.4842720288,937223.0760188869
2029,3,1387762.8722744463,974832.2099155453
2029,4,932291.7809314686,803594.2256986019
2029,5,617812.9162181282,742651.5644180633
2029,6,482467.5002795112,735226.9122919976
2029,7,468873.8661804371,766258.0079374237
2029,8,446240.84339631494,731796.3407627747
2029,9,452772.3076771697,780052.1808151474
2029,10,661907.1793857219,903444.7137965576
2029,11,1153728.2215194986,1035129.5600288467
2029,12,1827013.8042268371,1202146.1632512247
2030,1,2013765.8945672936,1151635.629245494
2030,2,1694863.046743846,956685.2591315608
2030,3,1418273.5206713066,1012438.7835393127
2030,4,952851.6858982178,822915.2808630352
2030,5,630211.3690906552,770398.3800415484
2030,6,487838.6785820683,744957.3164547908
2030,7,477882.7065685361,762229.0801848064
2030,8,459167.98998909,730713.2369172613
2030,9,466540.19111307664,794914.7047181905
2030,10,666256.9158849888,913331.0201745549
2030,11,1160331.0712187623,1072375.7245496179
2030,12,1853888.1265903409,1167501.2389654918
2031,1,2007811.4164898982,1201857.679924607
2031,2,1702850.1304070952,923123.2127580886
2031,3,1407015.2312613341,1031502.2317000531
2031,4,945932.7757290025,842481.4042358745
2031,5,633421.2593141854,790768.8793426368
2031,6,495613.493507586,771667.0683135791
2031,7,484294.5583084173,800217.0496989411
2031,8,467980.6021406966,772919.7022185787
2031,9,474525.3812020065,799105.365519464
2031,10,671280.4676901919,1003063.6306024361
2031,11,1123032.6483440928,1063754.5321133933
2031,12,1829720.3490354656,1263033.4238802164
2032,1,2020682.4662571824,1219357.5486647233
2032,2,1784243.7236675995,1087269.1230312362
2032,3,1346335.9236795946,1060644.28780608
2032,4,914683.3817837196,882228.4576605638
2032,5,637982.9920426254,849574.7925198851
2032,6,502016.3261765271,833411.9420571555
2032,7,488016.98449914384,870709.3104421397
2032,8,462989.3423873746,859434.8545448006
2032,9,469444.2973670808,907987.3077897036
2032,10,694827.9167533265,1067671.8648513698
2032,11,1192297.9301029355,1159507.8667032411
2032,12,1818135.1610068227,1274808.4557640906
2033,1,2003710.195670413,1260851.1562281498
2033,2,1699418.9892038994,1071328.7691324311
2033,3,1396682.17475702,1114046.1148731904
2033,4,951242.5396418713,918060.1602696391
2033,5,636299.9614228685,848201.9023090943
2033,6,500455.57427386026,839470.510091764
2033,7,487138.49460772815,874535.6865363875
2033,8,466998.6102820608,835006.9038634044
2033,9,471398.41748131026,889730.6193322024
2033,10,681329.8056090396,1029549.7649658059
2033,11,1172681.4466703825,1179180.752009295
2033,12,1889422.968947452,1368963.855231119
2034,1,2033142.35520971,1310878.4124463478
2034,2,1705443.2753445096,1088834.2713424726
2034,3,1403625.0570561355,1151931.1631495242
2034,4,971578.2647537655,935977.457274973
2034,5,646171.3292460861,876118.4673928276
2034,6,506447.2375515988,846809.6649130869
2034,7,494748.00400959945,865967.7158874546
2034,8,476404.0427221991,830044.5993121661
2034,9,481917.3980072378,902880.3426295012
2034,10,705689.667645413,1036183.8607752831
2034,11,1173534.4973375064,1216593.0585885597
2034,12,1855995.633769931,1323207.5482490936
