YEAR,MONTH,CIVIL,IND
2021,1,2002297.8374076793,787658.5662365893
2021,2,1688375.7610829915,669268.7130845452
2021,3,1382379.0929068185,696284.6549933425
2021,4,879256.9624389858,574442.8376043616
2021,5,574064.1661119302,531891.1994768828
2021,6,435068.7613184977,526772.0115439701
2021,7,420876.1106767517,549686.373915494
2021,8,399936.3625171153,525482.3298487654
2021,9,401739.3420465757,561002.9025514706
2021,10,623257.4879454022,651295.6850585465
2021,11,1118105.8863165313,747164.125702287
2021,12,1793610.0863596476,868729.741902896
2022,1,1956173.5473690522,833257.1781003884
2022,2,1693394.4410107036,692503.3003283011
2022,3,1349238.660884317,733529.3617462575
2022,4,883064.2986191531,596493.8686340632
2022,5,586609.2429168698,559356.1363586428
2022,6,448818.15632733254,541222.0309550214
2022,7,430493.4402574085,554705.4296293985
2022,8,408643.37678491086,532162.0061195609
2022,9,413504.01554925647,579351.936256853
2022,10,626189.5203704634,667810.3020605922
2022,11,1135224.7350425145,783877.1338376477
2022,12,1803785.828001681,856406.032410746
2023,1,1994364.202442404,880255.1448116223
2023,2,1663676.0581602904,677644.640722422
2023,3,1389684.5275348364,757575.8517448314
2023,4,931544.9070015658,618517.1655474073
2023,5,591703.0054051909,581562.1068094684
2023,6,449804.7188774524,567498.1828089063
2023,7,438205.6625474256,589229.0917147154
2023,8,420787.97433460644,569392.2859647529
2023,9,422675.10487019434,589792.833417129
2023,10,634882.9676990365,741356.50274612
2023,11,1117489.5179196948,787551.5763759247
2023,12,1783581.9219829445,936464.1184772643
2024,1,1981865.4223884363,903831.3859506927
2024,2,1721680.0369184348,804470.9575178858
2024,3,1380123.637274972,786802.2805768047
2024,4,904529.2456621254,655099.6350186652
2024,5,596067.601377422,631096.7872060485
2024,6,462343.7758304044,619574.4029221232
2024,7,442400.1145067072,647869.5617870011
2024,8,420144.362250686,639552.8376739214
2024,9,419480.7114378996,676722.324549058
2024,10,638471.2834858017,796363.9236361479
2024,11,1148097.0737609314,867328.2135581658
2024,12,1786076.228663704,955232.4330191546
2025,1,2029015.2919874568,945436.4353521479
2025,2,1722852.7897379783,803392.4469978814
2025,3,1463284.3309711972,835516.6007507988
2025,4,885687.7461435875,688926.8129752083
2025,5,591001.3924434247,637459.57816772
2025,6,449694.9922880047,631033.6501435342
2025,7,437845.1260406737,657982.0933142586
2025,8,416433.2165303427,628710.9337491939
2025,9,428747.84636115044,670699.3818683174
