YEAR,MONTH,CIVIL,IND
2021,1,1942909.4888448897,788615.8270261656
2021,2,1640231.6873944695,670316.5570743287
2021,3,1354359.5768115355,697942.5206828513
2021,4,894246.9844941733,577232.3001316687
2021,5,579042.1382588388,534434.2832647898
2021,6,455292.29793619795,529827.3351975715
2021,7,440097.99009928666,552533.8959043471
2021,8,424899.8782764989,528430.6900254624
2021,9,423489.5568286157,563347.7484321663
2021,10,636336.5177788737,653455.4624761346
2021,11,1097618.6005083844,747906.2778204962
2021,12,1734733.7652754197,868609.4098838028
2022,1,1904721.8826156012,833495.1270251735
2022,2,1656583.9958652165,693532.4992318293
2022,3,1356375.6153695656,734625.3043235157
2022,4,898551.767024586,599481.4553908751
2022,5,582429.7293775593,561592.0968240125
2022,6,474658.96204914345,544365.6291673421
2022,7,446114.2744099247,558016.1213239839
2022,8,429443.96114783274,535423.6697754568
2022,9,429577.0832717359,581604.1724135502
2022,10,637821.257504618,670006.1314247225
2022,11,1097618.3017645464,784399.906482753
2022,12,1740770.0286922394,857020.7168415015
2023,1,1912821.885005425,879739.3948532911
2023,2,1629657.7217961433,679585.0860661615
2023,3,1341506.1334047918,758433.992180676
2023,4,923049.9590727466,621703.7803635645
2023,5,585795.4645826685,583616.6313581248
2023,6,461299.8371445633,570443.5558299319
2023,7,448428.91863541503,592283.0939492141
2023,8,435443.49603335507,572219.4318940341
2023,9,445926.85581170133,592145.7167739962
2023,10,641411.2329024426,742201.4763285759
2023,11,1102286.9249875918,788661.0743482205
2023,12,1737208.0738445197,935556.3129861999
2024,1,1913077.6146753328,903133.0636518128
2024,2,1657667.013352611,803867.7019729436
2024,3,1334971.1586382685,787841.5158112538
2024,4,909120.4613351809,657119.8099677274
2024,5,610027.4514603042,632788.2651740827
2024,6,490254.12202164624,621860.9040620849
2024,7,462932.96612748166,649670.1198867753
2024,8,440963.22546176,641173.5295342623
2024,9,440960.7780506731,677823.5134570303
2024,10,653436.6412632719,796484.1714450401
2024,11,1134586.5254944374,866397.4533353309
2024,12,1758070.6868512575,954496.9966153445
2025,1,1947736.6818879298,944478.9237584019
2025,2,1672660.75521099,803102.4487312264
2025,3,1434811.283236549,835712.0336510845
2025,4,885372.1343039196,690857.451747113
2025,5,601751.9102130695,639361.2917777847
2025,6,474922.9752410866,633479.475328838
2025,7,461556.2128372415,660121.7246201994
2025,8,442784.20531152305,631074.9914258644
2025,9,468319.691335635,672302.17219005
2025,10,664363.4281218741,778435.8497971577
2025,11,1114760.3369866018,890395.0952012157
2025,12,1736452.4195860447,1033309.4467761811
2026,1,1929964.4444677206,990805.0090111516
2026,2,1669620.356522994,824409.4339105331
2026,3,1396841.3168998528,872666.4998796294
2026,4,907779.180058976,711737.0868511001
2026,5,605250.8649455886,666684.7145665257
2026,6,477768.1270969892,645684.8431118117
2026,7,465703.09441516385,661175.615506843
2026,8,449918.1248999698,634283.385121491
2026,9,456114.20268238516,688887.5711902222
2026,10,658290.4333893931,791813.6303861889
2026,11,1084865.434484978,927050.8136766312
2026,12,1791912.2706600553,1010880.3803716421
2027,1,1912639.8965208996,1038630.9757930589
2027,2,1668796.3108365275,801270.488669562
2027,3,1371990.5127864238,894139.742269549
2027,4,917407.6564376757,732722.1222592939
2027,5,608616.6001506709,687841.5312090813
2027,6,480637.8296499965,671943.1234015892
2027,7,470221.6579473299,697118.4930529429
2027,8,457964.4785095132,673509.6809121664
2027,9,464325.7533621465,696410.487122738
2027,10,678055.8997064473,871963.5349905272
2027,11,1078604.6697339304,925215.7085799369
2027,12,1762936.086961998,1097013.246314426
2028,1,1887947.9250726127,1059068.6488485096
2028,2,1701789.1282775728,943690.7477536852
2028,3,1379431.7886901288,923229.5088378746
2028,4,897196.2299687093,769804.1135504713
2028,5,626088.3996433257,741460.2068860594
2028,6,497169.58870340587,728177.6726702373
2028,7,482898.8247378278,760339.7043355863
2028,8,460848.70499256474,750444.0306017676
2028,9,464941.2925499132,792716.5109775923
2028,10,690213.135719394,930757.1008148368
2028,11,1150290.2858580248,1011048.2697295016
2028,12,1802938.7019744131,1112407.3272226125
2029,1,1973859.602217988,1100342.0204906263
2029,2,1643540.2160347505,935888.3403881267
2029,3,1397936.1721253232,973481.5466193235
2029,4,926795.255887897,804482.6033625461
2029,5,645044.7238922446,744288.3002907804
2029,6,515671.6817014918,737131.615460108
2029,7,502053.1771253388,767709.5533360583
2029,8,481827.8929211124,733719.2928262642
2029,9,488709.2469460891,781256.5959479285
2029,10,698168.8965162704,903416.2371181799
2029,11,1120475.931490569,1032883.912581922
2029,12,1773354.2606209673,1198009.4836685574
2030,1,1950897.6597177628,1148114.890997138
2030,2,1660588.0819929477,955286.3685892374
2030,3,1437209.5834582502,1010707.6954357412
2030,4,941798.586307219,823992.7183113185
2030,5,645282.4002939546,771777.332309028
2030,6,518391.3037864456,747004.0570562757
2030,7,505180.1257410487,764335.1096896947
2030,8,490553.0576070228,733143.1004675233
2030,9,513117.1582163905,796170.9699669091
2030,10,690533.7505539388,913621.1293476498
2030,11,1118794.3960751893,1069701.7208705007
2030,12,1775908.0068956334,1164740.0439017683
2031,1,1911060.2533959155,1197522.5567328413
2031,2,1678840.0609809945,922955.891272954
2031,3,1401932.065441022,1029845.4923584058
