YEAR,MONTH,CIVIL,IND
2021,1,1991362.943203085,787940.7069673536
2021,2,1670373.7918111752,668711.454269619
2021,3,1374361.6950847916,696478.4784433534
2021,4,885741.4820310115,574719.296006614
2021,5,571303.2911660061,531750.0331652106
2021,6,438939.2203013666,526775.5571065831
2021,7,423439.2624206232,549802.8085831482
2021,8,400632.1048972279,525623.3910869778
2021,9,402924.9513108103,560819.1027879486
2021,10,614474.4075625956,651538.737084546
2021,11,1109853.7625839838,747181.3834997001
2021,12,1779064.7150587838,868754.2356884313
2022,1,1963488.286385886,833572.7337709193
2022,2,1675459.4513927724,692197.5034366315
2022,3,1342361.1574984407,733425.6914176951
2022,4,890219.2374570147,596927.7984110144
2022,5,584313.7959801819,558951.1528924421
2022,6,449380.8097786124,541404.4390238255
2022,7,428327.62102853664,554952.2944111925
2022,8,407150.490036221,532259.2114407688
2022,9,412863.88518334023,579149.2982192549
2022,10,623116.5653368102,667919.0268184007
2022,11,1128444.358671436,783956.4486690231
2022,12,1790665.363801811,856391.1624514519
2023,1,2000081.7494858564,880606.9811655178
2023,2,1650106.6709646748,677586.9828229279
2023,3,1386538.5313146128,757173.2001760968
2023,4,938133.7523863043,619108.9374569115
2023,5,589000.8630903909,580895.9863255344
2023,6,453387.09234989854,567864.6714775569
2023,7,451577.5682167559,589603.5993089055
2023,8,419711.35990654206,569442.0796122422
2023,9,423263.3153489318,589569.3864583521
2023,10,627522.7483889917,741332.1012491435
2023,11,1110346.8529834466,787695.0785776067
2023,12,1780662.2952359463,936411.2461405545
2024,1,1990354.6730020102,904222.2633874742
2024,2,1678737.661095494,804657.8674094613
2024,3,1378770.785915247,787294.4978764213
2024,4,908757.7666318075,655221.6718889796
2024,5,594973.4909584194,631224.5512906412
2024,6,461680.888708566,619407.1414511881
2024,7,453340.8992927489,647855.6303792155
2024,8,427060.2144252062,639736.8385933901
2024,9,419415.43573246105,676557.9779005982
2024,10,627938.716694644,796745.0044552705
2024,11,1146269.2502532909,867288.217782506
2024,12,1786692.1009488686,955300.3006429616
2025,1,2015028.5462719542,945721.2334570277
2025,2,1682285.6771533599,802837.8455570721
2025,3,1403268.625518381,835713.0815749267
2025,4,881758.2192649046,689205.9287515765
2025,5,587649.0080347523,637321.0692301644
2025,6,454716.8507090766,631039.8530802653
2025,7,436866.10778053466,658101.185356031
2025,8,414995.6064060475,628854.6523615237
2025,9,424192.6968700691,670518.2394789123
2025,10,630201.7603270693,777664.4864277274
2025,11,1133703.9938717706,891253.2736540709
2025,12,1759312.777373176,1035592.6258422519
2026,1,1975113.7002270715,992836.2151456801
2026,2,1684102.047766116,824367.213821437
2026,3,1367715.4873388864,872938.7692018449
2026,4,926799.161217133,710010.672996877
2026,5,597612.6855169883,664691.9384176508
2026,6,460940.95221039996,643277.4856560399
2026,7,443482.646729853,658711.6282877559
2026,8,424052.6397623357,631611.2720095864
2026,9,432166.27939803794,687135.6343044775
2026,10,642730.6302034494,790792.5655930385
2026,11,1130893.7045356778,928194.4808818816
2026,12,1845086.183966094,1012118.1699089798
2027,1,1992462.5337510337,1041491.7039679145
2027,2,1676353.5483303568,800335.3728305442
2027,3,1387326.5243921205,894292.4463563252
2027,4,926809.9032106724,730923.5902391684
2027,5,603008.3384336355,685747.3610118988
2027,6,467489.81884051487,669922.5805776393
2027,7,451706.8723284332,695080.735729361
2027,8,434445.89004960895,671285.4371949614
2027,9,441306.268616948,694461.6284049442
2027,10,658709.3164688444,872359.0637167762
2027,11,1106189.7396066964,925684.4310042482
2027,12,1769668.7407382717,1099925.4551411204
2028,1,1963595.813608658,1062077.0905532206
2028,2,1743128.3775722953,945997.341673855
2028,3,1371063.3073765002,924088.0430678395
2028,4,888467.4565459909,768743.9354004264
2028,5,606669.9377354783,740634.1438845504
2028,6,472663.5266848362,726402.681613677
2028,7,455053.2774080647,759312.8067783794
2028,8,428568.4883435005,749759.9545267152
2028,9,436458.0850783327,792344.1526983082
2028,10,648070.2312667557,932395.609398444
2028,11,1148376.1539003674,1013576.1569256643
2028,12,1807932.3490969643,1115179.241854545
2029,1,2038167.386866137,1103501.7599466923
2029,2,1665314.5688180604,936964.2368445287
2029,3,1379570.429995235,974947.6847065035
2029,4,922581.0411893501,803692.5614965303
2029,5,605871.3848901019,742892.1052951177
2029,6,472717.59429994714,735304.1490539511
2029,7,455808.48250977474,766399.5621289185
2029,8,433190.6413166225,732085.9136360674
2029,9,439102.21319289634,780217.3761698707
2029,10,648969.3094640704,903790.2357709088
2029,11,1143495.3881648323,1035325.1638084286
2029,12,1804962.2556179941,1202431.015996071
2030,1,1999664.0014265103,1152099.6965204484
2030,2,1658547.0464194668,956536.9242062413
2030,3,1413008.029324782,1012451.8469859933
2030,4,936591.1786614206,823093.5475827344
2030,5,617061.2799536134,770432.7239428503
2030,6,479590.5209143721,745150.5322882496
2030,7,461749.2744356005,762470.9621643132
2030,8,443580.5432831441,730963.3325784025
2030,9,454540.5958738639,795121.9703897135
2030,10,650749.8846533165,913666.1043676701
2030,11,1148639.2520070104,1072432.5130947342
2030,12,1830670.8236396601,1167845.1773664919
2031,1,1992575.0790790832,1202376.4267703227
2031,2,1660431.4681013757,923083.7628381547
2031,3,1406537.271409486,1031411.692536538
2031,4,937459.4868922667,842738.2430214235
2031,5,622284.1042950032,790598.7356982706
2031,6,486388.4583496133,771980.489677724
2031,7,469867.7051349415,800557.8721498183
2031,8,452877.0177002882,773128.7947776986
2031,9,459477.54117007495,799353.8703515327
2031,10,657659.6873235329,1003386.0261843922
2031,11,1121207.652592279,1063673.7834308802
2031,12,1808165.3141446575,1263439.664141669
2032,1,2008461.760300477,1219931.9177189725
2032,2,1762254.0154136128,1087336.815938258
2032,3,1373931.7865394487,1060881.5882592383
2032,4,902835.6738122534,882266.1989118695
2032,5,626415.5428825911,850043.7364784608
2032,6,492555.7280962693,833398.221776167
2032,7,473691.16095167893,870769.9831775345
2032,8,447171.60967055225,859783.070460043
2032,9,455628.64342311304,908130.3274960408
2032,10,672686.2599073737,1068046.2143415953
2032,11,1166330.9255196392,1159864.0960688242
