YEAR,MONTH,CIVIL,IND
2021,1,2004297.713043815,787940.7069673536
2021,2,1673060.3937533372,668711.454269619
2021,3,1383540.3050581727,696478.4784433534
2021,4,884827.7604321255,574719.296006614
2021,5,572827.4582260133,531750.0331652106
2021,6,440010.474710777,526775.5571065831
2021,7,424230.19508358964,549802.8085831482
2021,8,399774.8551024973,525623.3910869778
2021,9,402288.2605066636,560819.1027879486
2021,10,614595.7590784356,651538.737084546
2021,11,1111139.8441047762,747181.3834997001
2021,12,1781727.4161102094,868754.2356884313
2022,1,1966553.287551568,833572.7337709193
2022,2,1676181.6259900846,692197.5034366315
2022,3,1347551.8923919396,733425.6914176951
2022,4,889073.8952464344,596927.7984110144
2022,5,584411.4957178939,558951.1528924421
2022,6,450057.4399715473,541404.4390238255
2022,7,429799.0047167061,554952.2944111925
2022,8,408295.0468666504,532259.2114407688
2022,9,413858.40069303743,579149.2982192549
2022,10,622798.8082628632,667919.0268184007
2022,11,1132022.112288769,783956.4486690231
2022,12,1798831.4481547168,856391.1624514519
2023,1,2011565.5260046986,880606.9811655178
2023,2,1645675.6927202556,677586.9828229279
2023,3,1386184.5599321555,757173.2001760968
2023,4,940129.8027557819,619108.9374569115
2023,5,589678.0042202377,580895.9863255344
2023,6,466623.88273579447,567864.6714775569
2023,7,453726.9658627052,589603.5993089055
2023,8,419594.6245380472,569442.0796122422
2023,9,426726.7277893475,589569.3864583521
2023,10,637256.2529761841,741332.1012491435
2023,11,1120402.6841543014,787695.0785776067
2023,12,1779761.839322454,936411.2461405545
2024,1,1990021.9215486655,904222.2633874742
2024,2,1699256.1045867153,804657.8674094613
2024,3,1383249.9722766303,787294.4978764213
2024,4,901306.4417431373,655221.6718889796
2024,5,593247.7360175998,631224.5512906412
2024,6,476103.79477943847,619407.1414511881
2024,7,456124.92899397644,647855.6303792155
2024,8,419218.3981212865,639736.8385933901
2024,9,423636.0839030944,676557.9779005982
2024,10,627600.6959147134,796745.0044552705
2024,11,1155160.9704542318,867288.217782506
2024,12,1785121.824004699,955300.3006429616
2025,1,2030757.4222694784,945721.2334570277
2025,2,1698025.8564812157,802837.8455570721
2025,3,1419452.383099782,835713.0815749267
2025,4,876342.8275608814,689205.9287515765
2025,5,592737.1042383073,637321.0692301644
2025,6,458508.5543614561,631039.8530802653
2025,7,443330.8515818544,658101.185356031
2025,8,421540.634947454,628854.6523615237
2025,9,428114.5717901664,670518.2394789123
2025,10,636525.5737181536,777664.4864277274
2025,11,1142126.899580203,891253.2736540709
2025,12,1767297.9177704526,1035592.6258422519
2026,1,1989344.242983364,992836.2151456801
2026,2,1682440.1527155507,824367.213821437
2026,3,1369526.1886224973,872938.7692018449
2026,4,912469.339473252,710010.672996877
2026,5,602092.2024017174,664691.9384176508
