YEAR,MONTH,CIVIL,IND
2021,1,1942881.0476890462,787663.3837895337
2021,2,1640304.6875648499,669334.5416655482
2021,3,1354336.8119200736,696588.072134561
2021,4,894335.7145938909,574693.1358442815
2021,5,578857.5877512371,531748.107672898
2021,6,455025.1732990071,526942.5260754572
2021,7,440069.8731530139,549943.4725496838
2021,8,424990.01331154007,525464.7092114559
2021,9,423291.8364881911,561136.1901706858
2021,10,636187.0498532986,651379.4741784392
2021,11,1097207.908759309,747025.963023369
2021,12,1735013.2120301693,868719.4194923044
2022,1,1904888.3249509032,833239.5266592803
2022,2,1656678.350588915,692620.3515277263
2022,3,1356073.6799800864,733686.6505678885
2022,4,898143.5945749448,597037.1853099446
2022,5,582245.8273773923,559071.5835748864
2022,6,474231.7073714608,541425.004580771
2022,7,445780.3969715602,555003.2254205097
2022,8,428924.9323059281,532154.0037571404
2022,9,429411.4054234217,579363.7266960174
2022,10,637785.2945245362,667952.6997006893
2022,11,1097243.5493566107,783943.0040221459
2022,12,1741167.047715792,856288.5629541328
2023,1,1913006.894389216,880215.7918006314
2023,2,1629980.8129148954,677812.2888304165
2023,3,1341308.774376499,757590.388700176
2023,4,923150.0408835607,619353.6747415927
2023,5,585611.5625825016,581133.4786231678
2023,6,461101.22664232657,567734.7795999463
2023,7,448347.4709333061,589566.9130437981
2023,8,435095.66023014113,569392.1827393147
2023,9,445732.0377587804,589684.4099072821
2023,10,641257.2030037005,741561.4417324428
2023,11,1101914.3916776099,787819.6997891066
2023,12,1737475.6414280059,936236.3645751262
2024,1,1913264.7560177944,903771.163285747
2024,2,1657667.9052186424,804688.5844205054
2024,3,1334774.648543545,787303.5070607569
2024,4,909220.543145995,655105.7392843395
2024,5,609992.636876448,631140.8446046427
2024,6,490058.7908076552,619762.0229598458
2024,7,462566.16989112674,648133.7225819663
2024,8,440629.3480233955,639572.2455454159
2024,9,440765.95999775216,677026.6510881695
2024,10,653314.9824917209,796441.5161536366
2024,11,1134233.1599102083,867032.8512193015
2024,12,1758338.254434744,955374.4257240259
2025,1,1947722.76247936,945489.6559644135
2025,2,1672495.8891000147,803506.6786382056
2025,3,1434732.8707162177,835868.4209513374
2025,4,885376.0030169628,689225.5142744498
2025,5,601856.8579025134,637364.8894230555
2025,6,474852.8130022732,631252.5677343433
2025,7,461266.92250984896,658287.59500777
2025,8,442802.55158396554,628741.7161712055
2025,9,468184.966592943,670881.0725468539
2025,10,664475.3689096305,777550.9692068254
2025,11,1114668.2714596407,891143.5988629442
2025,12,1736363.3416687953,1035603.5553313299
2026,1,1930072.2999086587,992548.7537192455
2026,2,1669571.2202473404,824835.8075977348
2026,3,1396733.388216823,873245.474037242
2026,4,907789.5963155847,710165.805581013
2026,5,605355.8126350326,664858.1147853001
2026,6,477645.16841354774,643343.7968981898
2026,7,465449.50207182043,658808.3049822778
2026,8,449708.9022412112,631551.8100111629
2026,9,456008.0855548603,687395.808466444
2026,10,658425.6357291196,790871.98416053
2026,11,1084922.671533609,928226.7819202084
2026,12,1791963.5016129913,1012061.316096864
2027,1,1912450.8103381898,1041146.2602882313
2027,2,1668974.193865127,800606.4245232391
2027,3,1371840.8138083124,894755.3805656085
2027,4,917452.7772095207,731214.0732090529
2027,5,608718.415218893,686030.5989947361
2027,6,480559.6054455993,669838.4343852332
2027,7,470323.14624935883,695089.7951494581
2027,8,458089.9750823428,671281.286007238
2027,9,464299.37694552855,694622.3975390797
2027,10,678184.1199938862,872634.1498852803
2027,11,1078621.699402722,925854.7979009531
2027,12,1762927.6149557154,1099796.3192608953
2028,1,1887882.5642097876,1061671.736136699
2028,2,1701675.9621407916,946073.8043701032
2028,3,1379236.8251131857,924142.7979373804
2028,4,897244.8603875249,768673.7484809896
2028,5,626143.6640271174,740596.1828837565
2028,6,497039.76081968803,726803.3088075393
2028,7,482857.2831112549,759636.6446663348
2028,8,460950.1932945937,749641.1071639463
2028,9,464861.4549574195,792858.571571083
2028,10,690181.305849652,932137.8667820155
2028,11,1150201.001783591,1013366.5360476644
2028,12,1803096.2242152442,1115299.112620813
2029,1,1973904.027500833,1103315.9281392808
2029,2,1643573.5887184788,937678.8156108666
2029,3,1397728.6245157951,975148.76976812
2029,4,926908.7356098085,803757.892704606
2029,5,645066.7749063057,742981.6711732133
2029,6,515691.8519440871,735562.6093932326
2029,7,502219.9674412871,766631.7174658631
2029,8,481585.0773175041,732018.723130953
2029,9,488586.46410219884,780625.9549230172
2029,10,698113.8214485793,903722.4642352104
2029,11,1120468.3936716472,1035261.2347025055
2029,12,1773402.9656534716,1202487.6911703534
2030,1,1951096.1336706812,1151857.9807792187
2030,2,1660680.321722082,957051.2636677437
2030,3,1437131.6666316362,1012804.2975065943
2030,4,941928.6716040033,823294.4258520748
2030,5,645313.5580295579,770644.6459957026
2030,6,518309.5309154086,745262.5892156033
2030,7,504914.5262856913,762613.384544038
2030,8,490650.2547634779,730949.6162651831
2030,9,513026.2353768373,795427.8902368854
2030,10,690570.464746999,913791.268620363
2030,11,1118811.7851695332,1072510.5598182625
2030,12,1776007.3384827212,1167834.0692395822
2031,1,1911212.8325066625,1202076.7287758447
2031,2,1678872.2346612082,923400.560216054
2031,3,1401755.298970877,1031920.3724310244
2031,4,950826.196196621,843074.4716765109
2031,5,651537.259903617,790927.7193663118
2031,6,521104.4109182357,771942.0891705243
2031,7,509397.884084636,800612.6772551204
2031,8,496130.4167705802,773170.3892751791
2031,9,503797.1941312312,799560.3851708735
2031,10,698112.5492119683,1003706.8580380973
2031,11,1100818.7808714644,1063889.8960127875
2031,12,1776185.3578978167,1263356.2739466503
2032,1,1933493.6995647345,1219572.308987656
2032,2,1714262.4577639864,1087459.0243197142
2032,3,1355165.7846739062,1060982.0888139813
