YEAR,MONTH,CIVIL,IND
2021,1,1811682.74080279,774158.2606185459
2021,2,1519518.7365810026,673173.8892954192
2021,3,1288250.1973098393,688468.5512143348
2021,4,888579.7415865046,614302.8283765917
2021,5,621405.7274420587,575754.8102093972
2021,6,499013.0659202204,573398.1157118855
2021,7,483669.74150299584,592527.2643901627
2021,8,462394.9495009772,570702.6898172032
2021,9,470378.176275068,600857.9064121458
2021,10,657948.4595521808,680687.6530513389
2021,11,1094615.8097330956,749289.8777428532
2021,12,1657983.675169909,827437.2356382443
2022,1,1809735.4633155973,796157.6432734369
2022,2,1532101.911036024,694841.0432258693
2022,3,1299507.3687650796,714052.0066319959
2022,4,900636.5228416093,638907.1574996762
2022,5,629150.4770756869,599772.1276993172
2022,6,506930.0293434087,597105.840845538
2022,7,489171.1014575092,615734.2924436275
2022,8,468553.7513534745,594277.8069821524
2022,9,475962.3055486665,622527.0919326954
2022,10,667077.1793121977,706279.4684401605
2022,11,1097378.8504859384,772884.5279103962
2022,12,1664618.087830579,852959.0185421825
2023,1,1807756.360946485,818095.8333124383
2023,2,1544856.0166674366,716552.926068239
2023,3,1310748.098145124,739669.8292151638
2023,4,912663.2376033074,663503.8118573743
2023,5,636858.8352323663,623769.6624157614
2023,6,514822.968067208,620793.5006546322
2023,7,494658.2526818023,638928.4013437007
2023,8,474753.9920110601,617847.0267964946
2023,9,481656.6308955646,644237.7095159879
2023,10,676238.0025692731,731903.06085142
2023,11,1100101.4665578618,796475.4831152181
2023,12,1671063.2158530578,878426.3126928848
2024,1,1805755.664684414,839975.3813706888
2024,2,1557779.91998259,738312.4210143649
2024,3,1305858.2072874445,757897.725520959
2024,4,905373.9839951472,684668.5767718555
2024,5,642502.2760240232,646694.5855776314
2024,6,519949.8456561592,644646.6145564227
2024,7,507029.8387631637,664282.8225270545
2024,8,485153.7147901138,642097.044577474
2024,9,493782.3596753673,674204.7104119002
2024,10,677735.5403568201,750106.0957367371
2024,11,1120692.8449320353,820669.1668016014
2024,12,1680038.686736839,896838.9727140032
2025,1,1840561.1137560655,869134.6069130795
2025,2,1548397.109534291,768150.2355899427
2025,3,1317128.5702631013,783444.8975088567
2025,4,917458.1145398048,709279.1746711291
2025,5,650284.1003953104,670731.156503923
2025,6,527891.4388734631,668374.4620064034
2025,7,512548.1144562463,687503.610684684
2025,8,491273.3224542546,665679.0361117303
2025,9,499256.54922831774,695834.252706674
2025,10,686826.8325053987,775663.9993458642
2025,11,1123494.1826864071,844266.2240373907
2025,12,1686862.048123218,922413.581932771
2026,1,1838613.8362688464,891133.9895679551
2026,2,1560980.2839892495,789817.3895203832
2026,3,1328385.7417183814,809028.3529265237
2026,4,929514.8957948934,733883.503794209
2026,5,658028.8500289806,694748.4739938504
2026,6,535808.4022966938,692082.1871400663
2026,7,518049.4744107687,710710.638738157
2026,8,497432.12430673937,689254.1532766761
2026,9,504840.6785019413,717503.4382272095
2026,10,695955.5522654311,801255.8147346776
2026,11,1126257.223439219,867860.8742049262
2026,12,1693496.4607838306,947935.364836714
2027,1,1836634.7338997216,913072.1796069541
2027,2,1573734.3896206685,811529.2723627865
2027,3,1339626.4710984444,834646.1755096924
