date,GAS_PRICE,OIL_PRICE
1996-01-01,26.94,27.86
1996-02-01,26.94,29.04
1996-03-01,26.94,27.989999999999995
1996-04-01,26.94,28.740000000000002
1996-05-01,26.94,29.180000000000003
1996-06-01,26.94,28.730000000000004
1996-07-01,26.94,31.19
1996-08-01,26.94,32.55
1996-09-01,26.94,33.11
1996-10-01,26.94,34.17
1996-11-01,26.94,35.88
1996-12-01,26.94,36.3
1997-01-01,26.94,39.02
1997-02-01,26.94,39.43
1997-03-01,28.240000000000002,38.35
1997-04-01,31.020000000000003,38.13
1997-05-01,31.020000000000003,37.23
1997-06-01,31.020000000000003,37.77
1997-07-01,31.020000000000003,35.49
1997-08-01,31.020000000000003,34.88
1997-09-01,31.020000000000003,36.32
1997-10-01,31.020000000000003,36.88
1997-11-01,31.020000000000003,39.34
1997-12-01,39.86,62.800000000000004
1998-01-01,39.86,66.48
1998-02-01,45.3,71.9
1998-03-01,45.3,57.24
1998-04-01,45.3,56.9
1998-05-01,45.3,49.33
1998-06-01,45.3,48.77000000000001
1998-07-01,45.3,48.56
1998-08-01,45.3,48.44
1998-09-01,45.3,49.66
1998-10-01,42.51,52.75
1998-11-01,42.51,52.92
1998-12-01,42.51,50.28
1999-01-01,41.46,45.99000000000001
1999-02-01,41.46,45.48
1999-03-01,41.46,45.28
1999-04-01,38.56,47.57
1999-05-01,38.56,50.690000000000005
1999-06-01,38.07,50.65999999999999
1999-07-01,38.07,50.56999999999999
1999-08-01,38.07,51.99
1999-09-01,38.07,54.08
1999-10-01,41.78,58.37
1999-11-01,41.78,60.96999999999999
1999-12-01,41.78,60.23
2000-01-01,44.74,58.07
2000-02-01,44.74,58.239999999999995
2000-03-01,44.74,58.42
2000-04-01,44.74,57.94
2000-05-01,49.06,55.49000000000001
2000-06-01,49.06,59.67000000000001
2000-07-01,49.06,59.98
2000-08-01,49.06,62.02000000000001
2000-09-01,49.06,64.65
2000-10-01,52.65,68.11
2000-11-01,52.65,68.49
2000-12-01,52.65,68.58
2001-01-01,57.65,66.42
2001-02-01,57.65,65.88
2001-03-01,57.65,66.28
2001-04-01,60.56,67.18
2001-05-01,60.56,66.19
2001-06-01,60.56,66.19
2001-07-01,60.56,67.32
2001-08-01,60.56,65.7
2001-09-01,60.56,65.08
2001-10-01,60.56,65.23
2001-11-01,60.56,61.95000000000001
2001-12-01,59.64000000000001,58.45
2002-01-01,51.11,59.56
2002-02-01,51.11,60.08
2002-03-01,51.11,61.72
2002-04-01,51.11,64.61
2002-05-01,51.11,66.51
2002-06-01,51.11,66.25
2002-07-01,51.11,67.22
2002-08-01,51.11,66.76
2002-09-01,51.11,68.27
2002-10-01,51.11,71.66
2002-11-01,53.76,73.12
2002-12-01,53.76,71.34
2003-01-01,55.31,74.8
2003-02-01,55.31,76.7
2003-03-01,58.77,78.68
2003-04-01,58.77,73.07
2003-05-01,58.77,70.62
2003-06-01,58.77,69.27
2003-07-01,57.54,71.78
2003-08-01,57.54,72.27
2003-09-01,54.86999999999999,72.93
2003-10-01,54.86999999999999,73.11
2003-11-01,54.86999999999999,75.53
2003-12-01,54.86999999999999,77.42
2004-01-01,57.839999999999996,79.63
2004-02-01,57.839999999999996,80.85
2004-03-01,57.839999999999996,80.53
2004-04-01,57.839999999999996,80.87
2004-05-01,57.839999999999996,81.66
2004-06-01,57.839999999999996,82.16
2004-07-01,57.839999999999996,81.99
2004-08-01,57.839999999999996,85.11
2004-09-01,61.86,86.65
2004-10-01,61.86,88.39
2004-11-01,66.06,89.13
2004-12-01,66.06,84.63
2005-01-01,63.96000000000001,83.24
2005-02-01,63.96000000000001,83.62
2005-03-01,58.02,86.15
2005-04-01,58.02,90.89
2005-05-01,60.75,90.3
2005-06-01,59.74999999999999,90.82999999999998
2005-07-01,61.67,96.08
2005-08-01,61.67,98.16
2005-09-01,61.67,102.3
2005-10-01,61.67,103.55999999999999
2005-11-01,65.19,100.7
2005-12-01,65.19,99.4
2006-01-01,69.76,100.93
2006-02-01,69.76,101.83
2006-03-01,69.76,102.17
2006-04-01,69.76,105.24
2006-05-01,69.76,106.38
2006-06-01,69.76,106.76
