YEAR,MONTH,CIVIL,IND
2021,1,1942909.4888448897,787940.7069673536
2021,2,1640231.6873944695,668711.454269619
2021,3,1354359.5768115355,696478.4784433534
2021,4,894246.9844941733,574719.296006614
2021,5,579042.1382588388,531750.0331652106
2021,6,455292.29793619795,526775.5571065831
2021,7,440097.99009928666,549802.8085831482
2021,8,424899.8782764989,525623.3910869778
2021,9,423489.5568286157,560819.1027879486
2021,10,636336.5177788737,651538.737084546
2021,11,1097618.6005083844,747181.3834997001
2021,12,1734733.7652754197,868754.2356884313
2022,1,1904721.8826156012,833572.7337709193
2022,2,1656583.9958652165,692197.5034366315
2022,3,1356375.6153695656,733425.6914176951
2022,4,898551.767024586,596927.7984110144
2022,5,582429.7293775593,558951.1528924421
2022,6,474658.96204914345,541404.4390238255
2022,7,446114.2744099247,554952.2944111925
2022,8,429443.96114783274,532259.2114407688
2022,9,429577.0832717359,579149.2982192549
2022,10,637821.257504618,667919.0268184007
2022,11,1097618.3017645464,783956.4486690231
2022,12,1740770.0286922394,856391.1624514519
2023,1,1912821.885005425,880606.9811655178
2023,2,1629657.7217961433,677586.9828229279
2023,3,1341506.1334047918,757173.2001760968
2023,4,923049.9590727466,619108.9374569115
2023,5,585795.4645826685,580895.9863255344
2023,6,461299.8371445633,567864.6714775569
2023,7,448428.91863541503,589603.5993089055
2023,8,435443.49603335507,569442.0796122422
2023,9,445926.85581170133,589569.3864583521
2023,10,641411.2329024426,741332.1012491435
2023,11,1102286.9249875918,787695.0785776067
2023,12,1737208.0738445197,936411.2461405545
2024,1,1913077.6146753328,904222.2633874742
2024,2,1657667.013352611,804657.8674094613
2024,3,1334971.1586382685,787294.4978764213
2024,4,909120.4613351809,655221.6718889796
2024,5,610027.4514603042,631224.5512906412
2024,6,490254.12202164624,619407.1414511881
2024,7,462932.96612748166,647855.6303792155
2024,8,440963.22546176,639736.8385933901
2024,9,440960.7780506731,676557.9779005982
2024,10,653436.6412632719,796745.0044552705
2024,11,1134586.5254944374,867288.217782506
2024,12,1758070.6868512575,955300.3006429616
2025,1,1947736.6818879298,945721.2334570277
2025,2,1672660.75521099,802837.8455570721
2025,3,1434811.283236549,835713.0815749267
2025,4,885372.1343039196,689205.9287515765
2025,5,601751.9102130695,637321.0692301644
2025,6,474922.9752410866,631039.8530802653
2025,7,461556.2128372415,658101.185356031
2025,8,442784.20531152305,628854.6523615237
2025,9,468319.691335635,670518.2394789123
2025,10,664363.4281218741,777664.4864277274
2025,11,1114760.3369866018,891253.2736540709
2025,12,1736452.4195860447,1035592.6258422519
2026,1,1929964.4444677206,992836.2151456801
2026,2,1669620.356522994,824367.213821437
2026,3,1396841.3168998528,872938.7692018449
2026,4,907779.180058976,710010.672996877
2026,5,605250.8649455886,664691.9384176508
2026,6,477768.1270969892,643277.4856560399
2026,7,465703.09441516385,658711.6282877559
2026,8,449918.1248999698,631611.2720095864
2026,9,456114.20268238516,687135.6343044775
2026,10,658290.4333893931,790792.5655930385
2026,11,1084865.434484978,928194.4808818816
2026,12,1791912.2706600553,1012118.1699089798
2027,1,1912639.8965208996,1041491.7039679145
2027,2,1668796.3108365275,800335.3728305442
2027,3,1371990.5127864238,894292.4463563252
2027,4,917407.6564376757,730923.5902391684
2027,5,608616.6001506709,685747.3610118988
2027,6,480637.8296499965,669922.5805776393
2027,7,470221.6579473299,695080.735729361
2027,8,457964.4785095132,671285.4371949614
2027,9,464325.7533621465,694461.6284049442
2027,10,678055.8997064473,872359.0637167762
2027,11,1078604.6697339304,925684.4310042482
2027,12,1762936.086961998,1099925.4551411204
2028,1,1887947.9250726127,1062077.0905532206
2028,2,1701789.1282775728,945997.341673855
2028,3,1379431.7886901288,924088.0430678395
2028,4,897196.2299687093,768743.9354004264
2028,5,626088.3996433257,740634.1438845504
2028,6,497169.58870340587,726402.681613677
2028,7,482898.8247378278,759312.8067783794
2028,8,460848.70499256474,749759.9545267152
2028,9,464941.2925499132,792344.1526983082
2028,10,690213.135719394,932395.609398444
2028,11,1150290.2858580248,1013576.1569256643
2028,12,1802938.7019744131,1115179.241854545
2029,1,1973859.602217988,1103501.7599466923
2029,2,1643540.2160347505,936964.2368445287
2029,3,1397936.1721253232,974947.6847065035
2029,4,926795.255887897,803692.5614965303
2029,5,645044.7238922446,742892.1052951177
2029,6,515671.6817014918,735304.1490539511
2029,7,502053.1771253388,766399.5621289185
2029,8,481827.8929211124,732085.9136360674
2029,9,488709.2469460891,780217.3761698707
2029,10,698168.8965162704,903790.2357709088
2029,11,1120475.931490569,1035325.1638084286
2029,12,1773354.2606209673,1202431.015996071
2030,1,1950897.6597177628,1152099.6965204484
2030,2,1660588.0819929477,956536.9242062413
2030,3,1437209.5834582502,1012451.8469859933
2030,4,941798.586307219,823093.5475827344
2030,5,645282.4002939546,770432.7239428503
2030,6,518391.3037864456,745150.5322882496
2030,7,505180.1257410487,762470.9621643132
2030,8,490553.0576070228,730963.3325784025
2030,9,513117.1582163905,795121.9703897135
2030,10,690533.7505539388,913666.1043676701
2030,11,1118794.3960751893,1072432.5130947342
2030,12,1775908.0068956334,1167845.1773664919
2031,1,1911060.2533959155,1202376.4267703227
2031,2,1678840.0609809945,923083.7628381547
2031,3,1401932.065441022,1031411.692536538
2031,4,950824.6465316924,842738.2430214235
2031,5,651470.7683505926,790598.7356982706
2031,6,521232.7853492919,771980.489677724
2031,7,509692.67449086276,800557.8721498183
2031,8,496574.0093815756,773128.7947776986
2031,9,503970.6736687718,799353.8703515327
2031,10,698090.1102041439,1003386.0261843922
2031,11,1100803.4184345147,1063673.7834308802
2031,12,1776096.9048313124,1263439.664141669
2032,1,1933390.2744882628,1219931.9177189725
2032,2,1714501.147146446,1087336.815938258
2032,3,1355253.4385896677,1060881.5882592383
2032,4,916972.8220387774,882266.1989118695
2032,5,664841.7781218132,850043.7364784608
2032,6,536873.7728604226,833398.221776167
2032,7,522383.35563663,870769.9831775345
