YEAR,MONTH,CIVIL,IND
2021,1,2002297.8374076793,792712.0764104899
2021,2,1688375.7610829915,679026.3106961307
2021,3,1382379.0929068185,703349.0362176413
2021,4,879256.9624389858,589042.2659661915
2021,5,574064.1661119302,549315.30550555
2021,6,435068.7613184977,544078.2907900759
2021,7,420876.1106767517,565723.833538634
2021,8,399936.3625171153,542740.6595960679
2021,9,401739.3420465757,576133.7414845068
2021,10,623257.4879454022,663011.5495587324
2021,11,1118105.8863165313,752865.3932385549
2021,12,1793610.0863596476,866585.1298578673
2022,1,1956173.5473690522,833850.2509087648
2022,2,1693394.4410107036,700887.5922342471
2022,3,1349238.660884317,738930.8790813445
2022,4,883064.2986191531,610846.1963911584
2022,5,586609.2429168698,575853.4948050646
2022,6,448818.15632733254,559199.6224913176
2022,7,430493.4402574085,572780.4057703429
2022,8,408643.37678491086,551069.7807040538
2022,9,413504.01554925647,594083.4981807387
2022,10,626189.5203704634,680716.6671100112
2022,11,1135224.7350425145,786988.8150722639
2022,12,1803785.828001681,859584.8963352882
2023,1,1994364.202442404,876160.8441846228
2023,2,1663676.0581602904,690249.2009160991
2023,3,1389684.5275348364,763256.9503129075
2023,4,931544.9070015658,632621.7151970135
2023,5,591703.0054051909,597895.7461449435
2023,6,449804.7188774524,584408.5957706877
2023,7,438205.6625474256,605018.3047692435
2023,8,420787.97433460644,585478.0909217871
2023,9,422675.10487019434,605300.244466155
2023,10,634882.9676990365,747116.4039317009
2023,11,1117489.5179196948,792905.5651118325
2023,12,1783581.9219829445,931427.4003464414
2024,1,1981865.4223884363,898456.1155726064
2024,2,1721680.0369184348,800581.464878446
2024,3,1380123.637274972,788368.6056606815
2024,4,904529.2456621254,666435.4813203558
2024,5,596067.601377422,642428.2653235848
2024,6,462343.7758304044,632030.0785759669
2024,7,442400.1145067072,658285.0224351591
2024,8,420144.362250686,649013.9568235034
2024,9,419480.7114378996,684174.093410099
2024,10,638471.2834858017,794777.0896911246
2024,11,1148097.0737609314,864182.9407929737
2024,12,1786076.228663704,948413.770457395
2025,1,2029015.2919874568,938924.5977248466
2025,2,1722852.7897379783,805046.2775695608
2025,3,1463284.3309711972,833729.6717384916
2025,4,885687.7461435875,698296.5853033562
2025,5,591001.3924434247,650958.749628068
2025,6,449694.9922880047,644606.2250785761
2025,7,437845.1260406737,669695.4953386484
2025,8,416433.2165303427,642386.734995067
2025,9,428747.84636115044,681301.1739463015
2025,10,644001.6238558926,782201.7001382748
2025,11,1145807.8968594754,887375.4201203338
2025,12,1767754.0309646288,1020529.9738123433
2026,1,1986553.87641598,981328.7093201409
2026,2,1705085.3706301348,825237.2217517566
2026,3,1383838.4974217722,869549.2368665916
2026,4,917634.1028454923,718902.1855925054
2026,5,601426.756508634,677641.8470034114
2026,6,457597.170182804,657686.2463663778
2026,7,443970.62576789065,672877.2748539931
2026,8,424365.38954780524,647404.3433054802
2026,9,432073.58108382835,697788.7837839676
2026,10,646065.0746597779,797130.540374936
2026,11,1137951.146145451,921640.6705405577
2026,12,1865094.1684061498,1004044.4135978114
2027,1,2006976.6723088014,1025023.2891805626
2027,2,1703986.6863486494,806556.2398677283
2027,3,1404023.5245268117,891831.79331432
2027,4,917428.9892021782,739595.0760294222
2027,5,607064.151945008,698924.8451881774
2027,6,463522.4265947526,683053.029069534
2027,7,451267.3104906786,706581.5906586507
2027,8,436228.7166566029,683939.3704862959
2027,9,441098.2259775368,706364.2301949536
2027,10,664761.40887916,870490.5169345572
2027,11,1102667.5853723942,922223.1817382376
2027,12,1799821.6309732352,1082534.5286822896
2028,1,1972410.908749245,1044732.0642933669
2028,2,1755471.0592980369,932758.9416102428
2028,3,1388710.4153808642,916665.4112326286
2028,4,889898.7405378628,774866.5586289009
2028,5,610079.432376613,747348.5259952138
2028,6,469288.6556248972,734889.5627817471
2028,7,454784.16793550143,764953.2205015165
2028,8,431378.5433643357,754457.9569312183
2028,9,438286.31446975213,794537.7779142337
2028,10,670344.7075036843,922098.2145633502
2028,11,1162168.4538964296,1000584.716811517
2028,12,1814213.2460432856,1096417.6214124034
2029,1,2053960.0609867119,1085137.1190391853
2029,2,1699347.923810574,931066.2444429984
2029,3,1397989.2896928051,964110.3072593503
2029,4,913918.144079756,807550.9046405039
2029,5,609789.7880658198,752602.1937505837
2029,6,468983.5378183713,745134.1593670838
2029,7,454997.2411130652,773667.1571386756
2029,8,434022.37715180486,742032.8103940642
2029,9,439654.55730802356,786468.6064080892
2029,10,662904.3363020717,901391.8507178167
2029,11,1148977.7348444983,1021885.4470020932
2029,12,1834382.748709027,1174474.8177668164
2030,1,2011577.1963603566,1128807.1677315298
2030,2,1701277.258441377,949586.851269264
2030,3,1436460.0694230432,1000167.5946518385
2030,4,936425.3422942939,826958.1747938378
2030,5,621802.9336310407,779430.1992017431
2030,6,474566.0495240261,756172.8702414258
2030,7,464135.1400732032,772974.1439376306
2030,8,445716.28489868785,743738.9059069024
2030,9,457058.63036115514,801494.0693872232
2030,10,666222.2866380932,913544.4136398538
2030,11,1157188.5325372852,1056292.52600884
2030,12,1853281.0419528715,1148503.9308603073
2031,1,1999490.787238678,1173885.7341765256
2031,2,1712712.232285844,922863.2788193461
2031,3,1395493.0273512658,1020406.6363157011
2031,4,935846.7043776423,846568.4368618359
2031,5,625877.9845455522,799953.9442314189
2031,6,482021.16175819293,781697.4623683915
2031,7,471543.01322664286,808144.876548066
2031,8,453816.9448346986,782400.6500508313
2031,9,461211.1216718144,807428.2159237431
2031,10,669908.2701687898,993864.62993738
2031,11,1105880.0930570841,1051540.7983646258
2031,12,1828941.5257693068,1233641.6570181074
2032,1,2020129.8514499506,1191008.0130141368
2032,2,1777401.5768420491,1064936.4183420625
2032,3,1347445.6733273952,1044962.2168045309
2032,4,905132.5251477459,883297.6359374456
2032,5,630402.1592980549,852268.7866668375
2032,6,488903.2056097912,837749.046987531
2032,7,474573.5498643426,871621.4185678619
2032,8,450206.64710648067,859901.9570389356
2032,9,457240.2362708485,904901.462418404
2032,10,687777.152927242,1049419.3394355276
2032,11,1181119.2126069677,1136986.492830067
2032,12,1820560.0606284454,1244421.4723673852
2033,1,2001553.4212195328,1231349.6403535523
2033,2,1709292.094028114,1057086.2113164484
2033,3,1384458.504879084,1094490.9427801825
2033,4,932939.2090018683,916805.2239776598
2033,5,629187.3700696635,854245.6378730955
2033,6,487399.6424634012,845662.0936555939
2033,7,473766.21732941415,877638.8189386929
2033,8,454028.4845886924,841678.8857930677
2033,9,457562.3346697554,891636.0388699006
2033,10,680998.7004545565,1020582.001297331
2033,11,1167928.4935551106,1156395.473883874
2033,12,1893301.782401463,1328419.6617212812
2034,1,2044815.432380144,1276285.6261429223
2034,2,1716942.8508179598,1073936.4807868227
2034,3,1412029.5233446318,1130785.9524370478
2034,4,957285.3331235986,935014.1639951766
2034,5,639478.2430840096,881218.5514000698
2034,6,493726.08380000223,854659.4941164883
2034,7,480984.1717889053,873071.0130212873
2034,8,463442.8944440086,840073.468508341
2034,9,470065.71076868125,905199.354990466
2034,10,709365.9640549192,1029958.2869047993
2034,11,1161612.8613480064,1190944.3814771348
2034,12,1861626.8061198269,1292963.448122817
