YEAR,MONTH,CIVIL,IND
2021,1,1963847.1030340365,787940.7069673536
2021,2,1647561.6649841752,668711.454269619
2021,3,1356743.0309899347,696478.4784433534
2021,4,881109.3351926657,574719.296006614
2021,5,575038.5101166463,531750.0331652106
2021,6,444892.0232225328,526775.5571065831
2021,7,429746.8821104215,549802.8085831482
2021,8,407153.6963371409,525623.3910869778
2021,9,409773.6003401862,560819.1027879486
2021,10,617036.6812831311,651538.737084546
2021,11,1096742.8232985106,747181.3834997001
2021,12,1747347.100627113,868754.2356884313
2022,1,1936687.8914391072,833572.7337709193
2022,2,1655917.8273030678,692197.5034366315
2022,3,1330147.8130257756,733425.6914176951
2022,4,886134.9556026666,596927.7984110144
2022,5,583975.7528132953,558951.1528924421
2022,6,453512.1345448344,541404.4390238255
2022,7,433403.50615901814,554952.2944111925
2022,8,412644.0591398554,532259.2114407688
2022,9,417851.2597268123,579149.2982192549
2022,10,619858.6690161137,667919.0268184007
2022,11,1111357.0228320637,783956.4486690231
2022,12,1755864.9801379263,856391.1624514519
2023,1,1958904.198236393,880606.9811655178
2023,2,1631870.3160385613,677586.9828229279
2023,3,1364691.3722260322,757173.2001760968
2023,4,928177.0558527063,619108.9374569115
2023,5,588255.282448531,580895.9863255344
2023,6,455837.4234175711,567864.6714775569
2023,7,454840.4661602509,589603.5993089055
2023,8,424025.0872750282,569442.0796122422
2023,9,427755.4642687709,589569.3864583521
2023,10,626967.16591927,741332.1012491435
2023,11,1102891.7919940462,787695.0785776067
2023,12,1758342.6320019641,936411.2461405545
2024,1,1952710.921615822,904222.2633874742
2024,2,1643898.4947457062,804657.8674094613
2024,3,1362318.5142672688,787294.4978764213
2024,4,905319.1495847234,655221.6718889796
2024,5,599311.9466356734,631224.5512906412
2024,6,469202.27872426185,619407.1414511881
2024,7,461056.54985100083,647855.6303792155
2024,8,435502.4070355105,639736.8385933901
2024,9,426246.8165658954,676557.9779005982
2024,10,629964.5641539391,796745.0044552705
2024,11,1141342.4701585951,867288.217782506
2024,12,1774232.1805327171,955300.3006429616
2025,1,1990668.3762926548,945721.2334570277
2025,2,1662630.1766811125,802837.8455570721
2025,3,1388807.1974357981,835713.0815749267
2025,4,880283.9247002094,689205.9287515765
2025,5,594542.3958531059,637321.0692301644
2025,6,463827.94446692785,631039.8530802653
2025,7,446332.05859510857,658101.185356031
2025,8,424675.56167618284,628854.6523615237
2025,9,434199.7283490018,670518.2394789123
2025,10,635922.3913304401,777664.4864277274
2025,11,1123751.344812172,891253.2736540709
2025,12,1730753.3983299527,1035592.6258422519
2026,1,1951471.5745713841,992836.2151456801
2026,2,1667718.75828591,824367.213821437
2026,3,1358660.5208660334,872938.7692018449
2026,4,925873.2969107401,710010.672996877
2026,5,600433.0805167602,664691.9384176508
2026,6,468230.72451825073,643277.4856560399
2026,7,451716.98240000225,658711.6282877559
2026,8,432704.6616974092,631611.2720095864
2026,9,440312.107989515,687135.6343044775
2026,10,642631.1857522056,790792.5655930385
2026,11,1116964.8164728156,928194.4808818816
2026,12,1813444.2444198476,1012118.1699089798
2027,1,1954443.4283644208,1041491.7039679145
2027,2,1661275.6445466834,800335.3728305442
2027,3,1368637.8190452158,894292.4463563252
2027,4,920011.663327626,730923.5902391684
2027,5,605421.2160707202,685747.3610118988
2027,6,473098.6088111237,669922.5805776393
2027,7,458128.229384461,695080.735729361
2027,8,441918.07669846795,671285.4371949614
2027,9,448956.8769122891,694461.6284049442
2027,10,661312.1932496796,872359.0637167762
2027,11,1101893.1376412236,925684.4310042482
2027,12,1750507.5362767118,1099925.4551411204
2028,1,1929110.5210680747,1062077.0905532206
2028,2,1711447.6703512012,945997.341673855
2028,3,1357769.4951146627,924088.0430678395
2028,4,888187.2990861674,768743.9354004264
2028,5,614166.8530998237,740634.1438845504
2028,6,483343.3764291316,726402.681613677
2028,7,465927.3877082879,759312.8067783794
2028,8,440169.1407074529,749759.9545267152
2028,9,446447.9256702261,792344.1526983082
2028,10,653254.5384766876,932395.609398444
2028,11,1146607.8335378908,1013576.1569256643
2028,12,1798630.8883988936,1115179.241854545
2029,1,2016965.6766097033,1103501.7599466923
2029,2,1648817.5280900043,936964.2368445287
2029,3,1368267.461670443,974947.6847065035
2029,4,924265.2063961825,803692.5614965303
2029,5,615923.2324870493,742892.1052951177
2029,6,484987.1478391031,735304.1490539511
2029,7,468432.8931065625,766399.5621289185
2029,8,446029.0563696985,732085.9136360674
