YEAR,MONTH,CIVIL,IND
2021,1,1970425.3290139376,787940.7069673536
2021,2,1663043.8142214697,668711.454269619
2021,3,1371978.240906392,696478.4784433534
2021,4,898879.1313325188,574719.296006614
2021,5,575306.9193081985,531750.0331652106
2021,6,449339.49501503166,526775.5571065831
2021,7,433790.3704094883,549802.8085831482
2021,8,418378.28683658567,525623.3910869778
2021,9,416640.90779923974,560819.1027879486
2021,10,633774.244058338,651538.737084546
2021,11,1110729.5397938574,747181.3834997001
2021,12,1766451.37970709,868754.2356884313
2022,1,1931522.2775623791,833572.7337709193
2022,2,1676125.6199549208,692197.5034366315
2022,3,1368588.9598422304,733425.6914176951
2022,4,902636.048878934,596927.7984110144
2022,5,582767.7725444457,558951.1528924421
2022,6,470527.6372829215,541404.4390238255
2022,7,441038.3892794431,554952.2944111925
2022,8,423950.3920441983,532259.2114407688
2022,9,424589.7087282638,579149.2982192549
2022,10,641079.1538253146,667919.0268184007
2022,11,1114705.6376039186,783956.4486690231
2022,12,1775570.4123561236,856391.1624514519
2023,1,1953999.4362548883,880606.9811655178
2023,2,1647894.0767222564,677586.9828229279
2023,3,1363353.2924933722,757173.2001760968
2023,4,933006.6556063446,619108.9374569115
2023,5,586541.0452245283,580895.9863255344
2023,6,458849.5060768907,567864.6714775569
2023,7,445166.02069192013,589603.5993089055
2023,8,431129.7686648689,569442.0796122422
2023,9,441434.70689186227,589569.3864583521
2023,10,641966.8153721641,741332.1012491435
2023,11,1109741.985976992,787695.0785776067
2023,12,1759527.7370785016,936411.2461405545
2024,1,1950721.3660615208,904222.2633874742
2024,2,1692506.1797023986,804657.8674094613
2024,3,1351423.4302862466,787294.4978764213
2024,4,912559.0783822648,655221.6718889796
2024,5,605688.9957830502,631224.5512906412
2024,6,482732.7320059505,619407.1414511881
2024,7,455217.31556922966,647855.6303792155
2024,8,432521.0328514556,639736.8385933901
2024,9,434129.3972172387,676557.9779005982
2024,10,651410.7938039768,796745.0044552705
2024,11,1139513.305589133,867288.217782506
2024,12,1770530.6072674089,955300.3006429616
2025,1,1972096.8518672287,945721.2334570277
2025,2,1692316.2556832372,802837.8455570721
2025,3,1449272.7113191315,835713.0815749267
2025,4,886846.4288686147,689205.9287515765
2025,5,594858.5223947157,637321.0692301644
2025,6,465811.8814832354,631039.8530802653
2025,7,452090.2620226675,658101.185356031
2025,8,433104.2500413877,628854.6523615237
2025,9,458312.65985670226,670518.2394789123
2025,10,658642.7971185031,777664.4864277274
2025,11,1124712.9860462002,891253.2736540709
2025,12,1765011.798629268,1035592.6258422519
2026,1,1953606.5701234075,992836.2151456801
2026,2,1686003.6460032,824367.213821437
2026,3,1405896.2833727053,872938.7692018449
2026,4,908705.044365369,710010.672996877
2026,5,602430.4699458166,664691.9384176508
2026,6,470478.35478913836,643277.4856560399
2026,7,457468.75874501455,658711.6282877559
2026,8,441266.10296489624,631611.2720095864
2026,9,447968.374090908,687135.6343044775
2026,10,658389.8778406368,790792.5655930385
2026,11,1098794.32254784,928194.4808818816
2026,12,1823554.2102063017,1012118.1699089798
2027,1,1950659.001907512,1041491.7039679145
2027,2,1683874.214620201,800335.3728305442
2027,3,1390679.2181333285,894292.4463563252
2027,4,924205.8963207221,730923.5902391684
2027,5,606203.7225135862,685747.3610118988
2027,6,475029.03967938747,669922.5805776393
2027,7,463800.300891302,695080.735729361
2027,8,450492.291860654,671285.4371949614
2027,9,456675.1450668053,694461.6284049442
2027,10,675453.0229256119,872359.0637167762
2027,11,1082901.2716994027,925684.4310042482
2027,12,1782097.2914235573,1099925.4551411204
2028,1,1922433.217613196,1062077.0905532206
2028,2,1733469.8354986664,945997.341673855
