YEAR,MONTH,CIVIL,IND
2021,1,1988717.837018569,787940.7069673536
2021,2,1699486.7343507041,668711.454269619
2021,3,1383336.2653261223,696478.4784433534
2021,4,902833.8187626473,574719.296006614
2021,5,566954.6977721285,531750.0331652106
2021,6,442662.76215261465,526775.5571065831
2021,7,428679.1549558571,549802.8085831482
2021,8,402401.18508553656,525623.3910869778
2021,9,398681.7388132896,560819.1027879486
2021,10,627768.6831856944,651538.737084546
2021,11,1125240.2015889932,747181.3834997001
2021,12,1796909.5665814765,868754.2356884313
2022,1,1966135.8091093125,833572.7337709193
2022,2,1700350.5179443483,692197.5034366315
2022,3,1353764.1792475074,733425.6914176951
2022,4,893777.1163028367,596927.7984110144
2022,5,580627.8814781605,558951.1528924421
2022,6,450127.7707127532,541404.4390238255
2022,7,434544.2206101133,554952.2944111925
2022,8,413736.2456758907,532259.2114407688
2022,9,410277.55124584597,579149.2982192549
2022,10,621824.9773177388,667919.0268184007
2022,11,1134551.3501414228,783956.4486690231
2022,12,1802696.9261973752,856391.1624514519
2023,1,2011479.6226262376,880606.9811655178
2023,2,1671519.207310289,677586.9828229279
2023,3,1388735.4118854618,757173.2001760968
2023,4,952904.4910962294,619108.9374569115
2023,5,585306.6311048687,580895.9863255344
2023,6,457297.1244014002,567864.6714775569
2023,7,454810.679949004,589603.5993089055
2023,8,422850.2171077865,569442.0796122422
2023,9,421618.9427793189,589569.3864583521
2023,10,622233.4766586068,741332.1012491435
2023,11,1120529.9038548947,787695.0785776067
2023,12,1780884.2832928186,936411.2461405545
2024,1,1998874.186971392,904222.2633874742
2024,2,1738017.2051300458,804657.8674094613
2024,3,1388993.8226744055,787294.4978764213
2024,4,926846.0316480569,655221.6718889796
2024,5,586037.0382895612,631224.5512906412
2024,6,465841.9297920218,619407.1414511881
2024,7,455044.44723578886,647855.6303792155
2024,8,426429.176645279,639736.8385933901
2024,9,411947.90420137753,676557.9779005982
2024,10,642485.925997484,796745.0044552705
2024,11,1145386.813669651,867288.217782506
2024,12,1781842.898299152,955300.3006429616
