YEAR,MONTH,CIVIL,IND
2021,1,2003546.3633921295,787635.2105792973
2021,2,1690458.434151922,668887.9300694653
2021,3,1383941.4916698844,696522.8039911682
2021,4,880299.9289621594,574386.697812047
2021,5,574880.0270889812,531708.3193336983
2021,6,435759.0711285429,526962.7188100746
2021,7,421271.0517054035,550112.658302129
2021,8,400282.33117678494,525420.4217078482
2021,9,402254.67706580553,560895.3292977767
2021,10,623999.4885325448,651379.5399069762
2021,11,1118919.8618224035,747198.2871130899
2021,12,1797105.8316580812,868560.2119040778
2022,1,1956173.5473690522,833338.5582677376
2022,2,1693394.4410107036,692286.0498227335
2022,3,1349246.9594926308,733569.0942268104
2022,4,883829.3822005667,596513.0346464008
2022,5,588212.2111714509,559071.1313406134
2022,6,449199.93080924836,541450.0333210466
2022,7,430596.4401431884,555156.958912262
2022,8,408932.17043018655,532249.4904163146
2022,9,413640.0845602633,579189.598977165
2022,10,626320.3646483957,667810.5751592844
2022,11,1135230.7086864887,783895.788211765
2022,12,1803791.8016456552,856186.170061602
2023,1,1994364.202442404,880443.85102537
2023,2,1663676.0581602904,677587.7805261568
2023,3,1390595.5498450845,757415.6599484852
2023,4,932506.5353650912,618612.5194523834
2023,5,592406.3687354187,581175.8912212605
2023,6,450290.3560614719,567765.8858383171
2023,7,438767.2829437902,589707.1866874947
2023,8,421330.39741875627,569627.3079744027
2023,9,423760.0584824178,589572.0534929014
2023,10,635938.1005573063,741273.0887860268
2023,11,1118353.045807237,787555.9640790238
2023,12,1784851.8155314075,936196.9334355608
2024,1,1982739.3101412945,904129.8523724405
2024,2,1722470.8202134375,804571.1620541727
2024,3,1381150.5336635413,787248.5982816449
2024,4,905478.9702813381,654980.5168080514
2024,5,596538.422174708,631028.2999150951
2024,6,462823.24590689765,619741.6998736876
2024,7,442435.76507831865,648283.4580013179
2024,8,420180.01282229746,639351.2979869451
2024,9,419480.7114378996,676677.2420156996
2024,10,638479.5820941154,796542.5783828413
2024,11,1148885.5728151398,867390.5055473787
2024,12,1786891.2739743744,955127.6675171033
2025,1,2029514.66985959,945424.5333750763
2025,2,1723284.3505645387,803023.1176630232
2025,3,1463832.957005946,835766.2034288455
2025,4,886226.3231508823,688882.1268631143
2025,5,592428.0951448579,637288.1517047568
2025,6,449905.736219791,631235.8110898609
2025,7,437999.9059233308,658419.8313811161
2025,8,416721.9714116587,628660.4792884978
2025,9,429488.4356787544,670603.262294845
2025,10,644224.8825865976,777514.0855562625
2025,11,1146150.344671386,891278.9735735641
2025,12,1768358.704094164,1035407.3983640035
2026,1,1986559.8500599544,992610.835948604
2026,2,1705509.681298499,824464.5565136431
2026,3,1383838.4974217722,873090.9683170638
2026,4,917685.5457291389,709604.7055383683
2026,5,602682.420156993,664820.7131719263
2026,6,457667.2345332048,643331.8762593659
2026,7,444248.36617590603,658925.0890949302
2026,8,424588.46874204476,631610.3472912367
2026,9,432182.2699307774,687184.7313684918
2026,10,646655.4717388032,790692.9102400261
2026,11,1138357.6514607114,928142.6167307284
2026,12,1865685.2734167948,1011921.9738252341
2027,1,2007473.8873105936,1041337.3701338718
2027,2,1704535.3123833982,800344.9668398784
2027,3,1404438.8733123378,894543.7024348183
2027,4,917967.566209473,730435.9685407445
2027,5,608496.8282904155,686036.06221373
2027,6,464007.2760338638,669832.5912445041
2027,7,451510.70472991635,695193.119414055
2027,8,436460.3934732064,671479.4618632275
2027,9,441206.9148244859,694473.0917455986
2027,10,665494.7353482465,872308.8475597642
2027,11,1103306.1376659027,925554.1128117695
2027,12,1800482.4094840095,1099719.9387422309
2028,1,1972882.8493520862,1061993.4758442913
2028,2,1756075.0946742122,945919.4326246706
2028,3,1389197.8320783025,924050.9397791683
2028,4,890370.1166966882,768511.5766256026
2028,5,611331.6466789008,740446.6888151083
2028,6,469438.3552157761,726746.0363422815
2028,7,454982.9212398647,759749.430706586
2028,8,431372.5316904589,749383.2102263751
2028,9,438286.31446975213,792472.213119514
2028,10,670344.7075036843,932201.9796321206
2028,11,1162176.7525047434,1013687.2409966415
2028,12,1814761.8720780343,1115015.405034791
2029,1,2054525.6299672518,1103213.8561708457
2029,2,1699819.864413415,937158.3052565845
2029,3,1398452.2684128084,975009.6028665279
2029,4,914498.5293694875,803377.5559141727
2029,5,611383.7805638851,742867.9840758141
2029,6,469235.15605538164,735508.9033696508
2029,7,455301.02985913877,766727.0044601088
2029,8,434350.4917877547,731900.5368691464
2029,9,439708.52094262093,780311.1952919092
2029,10,663405.0659605168,903648.6312055488
2029,11,1149559.3414583998,1035359.6600340272
2029,12,1835113.923659751,1202254.5848239271
2030,1,2010016.9425347298,1151883.1136294766
2030,2,1698526.9112581403,956643.0632045529
2030,3,1432651.1302591995,1012612.842407317
2030,4,937055.2506855536,822696.3764303285
2030,5,622613.922614333,770570.2950032308
2030,6,474949.8690084592,745213.7191976798
2030,7,463841.8025762813,762693.2192775918
2030,8,446342.3535072971,730971.2041661576
2030,9,456993.8961880083,795179.8637598334
2030,10,666602.5349967866,913575.2453207627
2030,11,1157576.0341423643,1072389.4452496872
2030,12,1851159.3724269967,1167657.7775888513
2031,1,1999193.8331138636,1202230.8892423843
2031,2,1713537.2972454207,923102.1531535935
2031,3,1396090.9250527672,1031671.744921135
2031,4,936436.0178306134,842259.4176291062
2031,5,627344.3067728995,790896.2332062048
2031,6,482127.9136584835,771899.296650696
2031,7,471695.85616264143,800679.0521406188
2031,8,454128.84484638297,773331.615752066
2031,9,461279.979623754,799374.1299982928
2031,10,671448.3945173499,1003344.606333484
2031,11,1106435.9794917156,1063552.2615445072
2031,12,1829766.5907288834,1263242.944048885
2032,1,2020809.615367718,1219857.0993161472
2032,2,1777878.8495465326,1087267.7031951798
2032,3,1348107.628532246,1060853.2812766703
2032,4,905853.651071016,882042.6364431513
2032,5,632017.3845594376,849865.0777151212
2032,6,489118.1362969118,833750.3728108774
2032,7,474885.0841257461,871215.4034118474
2032,8,450517.85454166064,859415.1224658042
2032,9,457531.25790174404,908267.1842233511
2032,10,688076.0878843148,1067861.3808813745
2032,11,1179506.0772762808,1159983.9764459068
2032,12,1817845.8239670424,1274903.1425524643
2033,1,2001026.466786241,1261003.1789666305
2033,2,1706510.656518242,1071293.4928501516
2033,3,1382493.534261025,1114253.0023041968
2033,4,933266.5092772259,917872.9849652331
2033,5,629957.4908890746,848447.81644687
2033,6,486759.9113497383,839781.9956494417
2033,7,473571.0999065919,875034.1775390969
2033,8,453793.5362708606,835140.5944497968
2033,9,457468.9221636859,890019.1282889874
2033,10,680544.0077044965,1029783.1768548201
2033,11,1167869.4458297503,1179440.3464945026
2033,12,1893125.7924468487,1369101.7712838436
2034,1,2042685.9387078793,1311155.391310353
2034,2,1714507.293439894,1088821.5698954882
2034,3,1412406.385256331,1152134.716497552
2034,4,958083.3051647961,935788.0473222906
2034,5,640278.1400275318,876319.8768345331
2034,6,492979.1308532504,847095.5621359999
2034,7,480348.8125487736,866461.349460264
2034,8,463207.9461261768,830332.061041085
2034,9,469621.27675399964,903174.9961511676
2034,10,708911.2713048592,1036457.5804015148
2034,11,1161936.198341163,1216636.2737686515
2034,12,1858845.3686099548,1323393.581352476
